Alpha,Gamma,Area,Perimeter,Ratio,Compactness,Radius,Steps,GrowthRate,Class,Video,Temperature,Supersaturation,OriginalPerimeter,CompactnessNormalized,BranchingFactor
1.0,0.0073,187043,6498,0.5363509395189769,225.74490357711463,333.17412864746865,4767,39.23704636039438,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-14.0,0.365,187043,0.0556662428040109,3.1040489965875646
1.0,0.0064,178907,6965,0.513020736068827,271.15330870077105,333.17412864746865,5062,35.3431450019755,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-14.0,0.32,178907,0.04634415369851226,3.3271316191493363
1.0,0.0055,137637,5166,0.3946778776140964,193.898123322988,333.17412864746865,5072,27.136632492113566,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-14.0,0.2749999999999999,137637,0.0648091399695232,2.4677619446554875
1.0,0.0046,114767,4703,0.3290975245038544,192.72272517193338,333.17412864746865,5369,21.375861426708884,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-14.0,0.2299999999999999,114767,0.06520440494517861,2.24659009402144
1.0,0.0037,149863,8957,0.42973626839353757,535.3412716912424,333.17412864746865,5666,26.449523473349807,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-14.0,0.185,149863,0.02347356962517698,4.278696039155865
1.0,0.0028,104183,7233,0.2987476138209159,502.1576360778423,333.17412864746865,5679,18.34530727240712,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-14.0,0.1399999999999999,104183,0.02502475261033436,3.455153338306841
1.0,0.0019,142043,17327,0.40731220362212994,2113.620023499126,333.17412864746865,5987,23.72523801570069,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-14.0,0.095,142043,0.005945425608462427,8.27698629791824
1.0,0.001,124755,21501,0.35773838881802567,3705.6069976858194,333.17412864746865,6292,19.827558804831533,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-14.0,0.05,124755,0.003391177375827014,10.270876804498187
1.0,0.0001,41317,27729,0.11847763224555621,18609.711280620333,333.17412864746865,6617,6.244068308901315,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-14.0,0.005,41317,0.000675258762726819,13.245948695964385
0.7,0.01,206729,4385,0.592801085182651,93.01174484425015,333.17412864746865,5360,38.56884328358209,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.8,0.5,206729,0.13510520241653728,2.094683725767385
0.7,0.0091,202439,4601,0.580499392360485,104.57076452608158,333.17412864746865,5654,35.80456314113901,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.8,0.455,202439,0.12017097389741524,2.197865409864479
0.7,0.0082,182001,4513,0.5218928660436014,111.90690710429114,333.17412864746865,5951,30.583263317089564,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.8,0.41,182001,0.11229307412256813,2.155828427454552
0.7,0.0073,194099,5105,0.5565842133076025,134.2666628878342,333.17412864746865,6244,31.08568225496477,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.8,0.365,194099,0.09359263382297542,2.438622672757697
0.7,0.0064,184743,5915,0.5297556263509159,189.38322426186983,333.17412864746865,6256,29.530530690537084,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.8,0.32,184743,0.0663541908913465,2.825553988121798
0.7,0.0055,161695,5357,0.46366485335201524,177.4788892657319,333.17412864746865,6557,24.659905444563066,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.8,0.2749999999999999,161695,0.07080487525175969,2.5590013042043065
0.7,0.0046,178519,7100,0.5119081354126498,282.37890644535105,333.17412864746865,6858,26.030766987459906,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.8,0.2299999999999999,178519,0.04450180352518827,3.3916201717100196
0.7,0.0037,178043,7986,0.5105431923396075,358.20670287313624,333.17412864746865,7447,23.9080166510004,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.8,0.185,178043,0.0350813385497673,3.8148561537008754
0.7,0.0028,126955,7355,0.3640469492396493,426.1039344616116,333.17412864746865,7754,16.372839824606654,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-12.8,0.1399999999999999,126955,0.02949132734514115,3.5134318821024215
0.7,0.0019,87553,4599,0.25106063208837,241.5771132886186,333.17412864746865,8074,10.84381966807035,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-12.8,0.095,87553,0.05201805106099465,2.196910023900617
0.7,0.001,118527,17367,0.33987942776990204,2544.6749601141964,333.17412864746865,8684,13.648894518654998,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-12.8,0.05,118527,0.004938300887626597,8.29609401719548
0.7,0.0001,43337,19374,0.12427003772359246,8661.233495427436,333.17412864746865,9318,4.650890749087787,Dendrite (Star),snowflake_Alpha2.50_Gamma0.0100.mp4,-12.8,0.005,43337,0.0014508754002190787,9.254823831930974
0.5,0.01,220313,3689,0.6317535782587126,61.769940947371374,333.17412864746865,6547,33.650985184053766,Hybrid / Transition,snowflake_Alpha2.50_Gamma0.0100.mp4,-12.0,0.5,220313,0.20343828116992838,1.7622094103434172
